"transaction_id";"sender_account_id";"receiver_account_id";"transaction_amount";"transaction_type";"timestamp";"transaction_status";"fraud_flag";"geolocation";"device_used";"network_slice_id";"latency";"slice_bandwidth_mbps";"pin_code"
"TXN9520068950";"ACC14994";"ACC16656";495.9;"Deposit";"2025-01-17 10:14:00";"Failed";"TRUE";"34.0522 N, -74.006 W";"Desktop";"Slice3";10;179;3075
"TXN9412011085";"ACC58958";"ACC32826";529.62;"Withdrawal";"2025-01-17 10:51:00";"Success";"FALSE";"35.6895 N, -118.2437 W";"Mobile";"Slice2";11;89;2369
"TXN4407425052";"ACC56321";"ACC92481";862.47;"Withdrawal";"2025-01-17 10:50:00";"Failed";"FALSE";"48.8566 N, 2.3522 W";"Mobile";"Slice1";4;53;8039
"TXN4247571145";"ACC60921";"ACC11419";933.24;"Deposit";"2025-01-17 10:25:00";"Success";"TRUE";"55.7558 N, 37.6173 W";"Mobile";"Slice3";20;191;8375
"TXN2515439857";"ACC18381";"ACC76710";449.56;"Withdrawal";"2025-01-17 10:01:00";"Failed";"FALSE";"35.6895 N, 139.6917 W";"Desktop";"Slice1";14;191;4779
"TXN2169752734";"ACC43792";"ACC51105";72.97;"Withdrawal";"2025-01-17 10:25:00";"Success";"TRUE";"55.7558 N, 2.3522 W";"Mobile";"Slice2";5;216;4347
"TXN4229370499";"ACC11531";"ACC53580";683.48;"Transfer";"2025-01-17 10:55:00";"Success";"TRUE";"34.0522 N, 2.3522 W";"Mobile";"Slice1";19;213;4495
"TXN6355066290";"ACC14006";"ACC27800";485.37;"Transfer";"2025-01-17 10:50:00";"Failed";"TRUE";"34.0522 N, 37.6173 W";"Mobile";"Slice3";20;173;9631
"TXN8655304785";"ACC62917";"ACC77317";385.43;"Deposit";"2025-01-17 10:58:00";"Success";"FALSE";"55.7558 N, -74.006 W";"Desktop";"Slice3";17;181;9371
"TXN5194651812";"ACC39081";"ACC11992";394.76;"Deposit";"2025-01-17 10:13:00";"Failed";"FALSE";"34.0522 N, -118.2437 W";"Desktop";"Slice2";16;146;7035
"TXN9153984217";"ACC34065";"ACC67993";620.34;"Deposit";"2025-01-17 10:37:00";"Failed";"FALSE";"55.7558 N, 2.3522 W";"Desktop";"Slice2";7;215;4624
"TXN9743166792";"ACC82066";"ACC33985";579.65;"Transfer";"2025-01-17 10:17:00";"Failed";"FALSE";"51.5074 N, 0.1278 W";"Mobile";"Slice2";14;246;9680
"TXN4351744832";"ACC55704";"ACC24911";817.55;"Deposit";"2025-01-17 10:13:00";"Failed";"FALSE";"40.7128 N, 2.3522 W";"Mobile";"Slice2";8;82;2092
"TXN5897093700";"ACC70859";"ACC83767";113.95;"Deposit";"2025-01-17 10:25:00";"Success";"FALSE";"48.8566 N, -74.006 W";"Mobile";"Slice3";18;141;9271
"TXN5863399870";"ACC73740";"ACC39244";906.82;"Transfer";"2025-01-17 10:57:00";"Failed";"FALSE";"34.0522 N, 2.3522 W";"Mobile";"Slice2";3;205;7119
"TXN3008400720";"ACC96801";"ACC67913";402.18;"Withdrawal";"2025-01-17 10:07:00";"Failed";"FALSE";"35.6895 N, 0.1278 W";"Mobile";"Slice2";18;169;2975
"TXN8954205071";"ACC49428";"ACC33014";154.78;"Transfer";"2025-01-17 10:41:00";"Success";"TRUE";"48.8566 N, 37.6173 W";"Mobile";"Slice3";7;68;8997
